,device_tag,mac_address,timestamps,quaternions_0,quaternions_1,quaternions_2,quaternions_3,accelerations_0,accelerations_1,accelerations_2
60,Movella DOT,D4:22:CD:07:AA:FB,1000020,0.22534626722335815,0.01552814245223999,0.0013214906211942434,0.9741542339324951,0.2041170448064804,0.14910869300365448,9.678772926330566
61,Movella DOT,D4:22:CD:07:AA:FB,1016687,0.2253863364458084,0.01560098584741354,0.0012435358949005604,0.9741438031196594,0.20382870733737946,0.14643816649913788,9.668201446533203
61,Movella DOT,D4:22:CD:07:A7:43,1016687,0.6237742304801941,-0.007975628599524498,-0.002934718271717429,0.7815583348274231,-0.10764560848474503,0.02899601310491562,10.192326545715332
62,Movella DOT,D4:22:CD:07:A7:43,1033354,0.6237002611160278,-0.008040727116167545,-0.0030464010778814554,0.7816162705421448,-0.11834297329187393,0.038120634853839874,10.182332038879395
62,Movella DOT,D4:22:CD:07:AA:FB,1033354,0.22553251683712006,0.01566273905336857,0.0011730371043086052,0.9741091132164001,0.21659918129444122,0.1461545079946518,9.688535690307617
63,Movella DOT,D4:22:CD:07:AA:FB,1050021,0.22568686306476593,0.015743710100650787,0.0011068661697208881,0.9740720987319946,0.19711308181285858,0.14441420137882233,9.686643600463867
63,Movella DOT,D4:22:CD:07:A7:43,1050021,0.6236391663551331,-0.008102753199636936,-0.0031688062008470297,0.7816638946533203,-0.11894184350967407,0.029602769762277603,10.198406219482422
64,Movella DOT,D4:22:CD:07:AA:FB,1066688,0.22580251097679138,0.015812696889042854,0.0010487159015610814,0.9740442633628845,0.16730141639709473,0.13756096363067627,9.69184684753418
64,Movella DOT,D4:22:CD:07:A7:43,1066688,0.6235377192497253,-0.008166946470737457,-0.0032999354880303144,0.7817436456680298,-0.12535764276981354,0.004320540465414524,10.194064140319824
65,Movella DOT,D4:22:CD:07:A7:43,1083355,0.6234613656997681,-0.008229665458202362,-0.003426750423386693,0.78180330991745,-0.12680891156196594,-0.012520033866167068,10.177974700927734
65,Movella DOT,D4:22:CD:07:AA:FB,1083355,0.22577054798603058,0.015872133895754814,0.0009819644037634134,0.9740508198738098,0.18147552013397217,0.14046478271484375,9.695226669311523
66,Movella DOT,D4:22:CD:07:AA:FB,1100022,0.22589480876922607,0.015945259481668472,0.0009330137982033193,0.974020779132843,0.1840074062347412,0.1449226588010788,9.677433013916016
66,Movella DOT,D4:22:CD:07:A7:43,1100022,0.6233716607093811,-0.008299539797008038,-0.0035395908635109663,0.7818736433982849,-0.1074838936328888,0.02374214492738247,10.187902450561523
67,Movella DOT,D4:22:CD:07:A7:43,1116689,0.6233147382736206,-0.008352565579116344,-0.0036606071516871452,0.7819178700447083,-0.10756195336580276,0.03862534835934639,10.206957817077637
67,Movella DOT,D4:22:CD:07:AA:FB,1116689,0.22603820264339447,0.016009928658604622,0.0008641260210424662,0.9739865660667419,0.20541410148143768,0.1525135338306427,9.662688255310059
68,Movella DOT,D4:22:CD:07:AA:FB,1133356,0.22595474123954773,0.016070662066340446,0.0007922964286990464,0.9740049242973328,0.2039547711610794,0.14076003432273865,9.683672904968262
68,Movella DOT,D4:22:CD:07:A7:43,1133356,0.6232285499572754,-0.008408530615270138,-0.0037855668924748898,0.7819854021072388,-0.09751508384943008,0.0373622365295887,10.207649230957031
69,Movella DOT,D4:22:CD:07:A7:43,1150023,0.6231008768081665,-0.008469609543681145,-0.003900998504832387,0.7820858955383301,-0.12273514270782471,0.017763333395123482,10.174676895141602
69,Movella DOT,D4:22:CD:07:AA:FB,1150023,0.22620107233524323,0.016132378950715065,0.0007348807994276285,0.9739468097686768,0.1934574395418167,0.1499422937631607,9.666206359863281
70,Movella DOT,D4:22:CD:07:AA:FB,1166690,0.22619633376598358,0.016187051311135292,0.0006741050165146589,0.9739471673965454,0.1989145427942276,0.14466236531734467,9.701171875
70,Movella DOT,D4:22:CD:07:A7:43,1166690,0.6230497360229492,-0.00853768177330494,-0.004019131418317556,0.7821253538131714,-0.1231950968503952,0.025069277733564377,10.178716659545898
71,Movella DOT,D4:22:CD:07:A7:43,1183357,0.6230592131614685,-0.00861236359924078,-0.004144440405070782,0.7821163535118103,-0.11870595812797546,0.028629258275032043,10.183022499084473
71,Movella DOT,D4:22:CD:07:AA:FB,1183357,0.22615373134613037,0.0162438303232193,0.0006185265374369919,0.9739560484886169,0.2021230310201645,0.15960811078548431,9.673324584960938
72,Movella DOT,D4:22:CD:07:AA:FB,1200024,0.2259659618139267,0.016301482915878296,0.0005596044356934726,0.9739986658096313,0.1861831247806549,0.15446360409259796,9.675271987915039
72,Movella DOT,D4:22:CD:07:A7:43,1200024,0.6230131387710571,-0.008670871146023273,-0.004259816370904446,0.7821518182754517,-0.12745030224323273,0.03125879168510437,10.176033973693848
73,Movella DOT,D4:22:CD:07:A7:43,1216691,0.6229472756385803,-0.008730802685022354,-0.004371669143438339,0.7822030186653137,-0.1318165510892868,0.038321878761053085,10.174166679382324
73,Movella DOT,D4:22:CD:07:AA:FB,1216691,0.22615209221839905,0.01636415719985962,0.0005028079613111913,0.973954439163208,0.17187324166297913,0.14321842789649963,9.675233840942383
74,Movella DOT,D4:22:CD:07:AA:FB,1233358,0.2263375222682953,0.01642611250281334,0.00043244444532319903,0.973910391330719,0.1797337681055069,0.14135980606079102,9.66295337677002
